distance,automaton,num_traces,num_states,num_states_unreachable,percent_states_unreachable,num_glitches,percent_glitches,mean_glitch_trans_freq,median_glitch_trans_freq,min_glitch_trans_freq,max_glitch_trans_freq,mean_dominant_trans_freq,median_dominant_trans_freq,max_dominant_trans_freq,min_dominant_trans_freq,glitched_delta_freq,dominant_delta_freq
-3,cbda0f48b40b44669804390b376acbef,16,,,,,,,,,,,,,,,
-2,cbda0f48b40b44669804390b376acbef,16,2,0,0.0,3,3.75,3.0,3.0,3,3,15.25,16.0,17,12,[3],"[15, 17, 12, 17]"
-1,cbda0f48b40b44669804390b376acbef,16,3,1,33.33333333333333,3,3.75,1.5,1.5,1,2,10.166666666666666,13.5,17,0,"[2, 1]","[15, 12, 0, 1, 17, 16]"
0,cbda0f48b40b44669804390b376acbef,16,4,0,0.0,0,0.0,nan,nan,nan,nan,8.0,8.5,12,3,[],"[12, 8, 12, 3, 9, 9, 3, 8]"
1,cbda0f48b40b44669804390b376acbef,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,6.0,12,3,[],"[3, 12, 3, 8, 8, 6, 3, 6, 12, 3]"
2,cbda0f48b40b44669804390b376acbef,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,4.0,12,1,[],"[12, 2, 3, 9, 9, 12, 1, 3, 1, 5, 2, 5]"
3,cbda0f48b40b44669804390b376acbef,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,4.0,8,3,[],"[8, 3, 8, 3, 4, 4, 4, 6, 3, 6, 3, 4, 4, 4]"
-3,6e6f4124a572433c9490f457e86c2e93,16,,,,,,,,,,,,,,,
-2,6e6f4124a572433c9490f457e86c2e93,16,2,0,0.0,16,20.0,5.333333333333333,6.0,4,6,12.0,13.0,14,8,"[4, 6, 6]","[14, 8, 14, 12]"
-1,6e6f4124a572433c9490f457e86c2e93,16,3,0,0.0,4,5.0,4.0,4.0,4,4,10.0,10.0,14,6,[4],"[12, 6, 8, 6, 14, 14]"
0,6e6f4124a572433c9490f457e86c2e93,16,4,0,0.0,0,0.0,nan,nan,nan,nan,8.0,7.0,14,4,[],"[8, 4, 8, 6, 6, 4, 14, 14]"
1,6e6f4124a572433c9490f457e86c2e93,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,6.0,10,4,[],"[8, 4, 6, 10, 4, 10, 6, 4, 8, 4]"
2,6e6f4124a572433c9490f457e86c2e93,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,5.0,8,2,[],"[8, 6, 4, 2, 4, 4, 8, 6, 4, 8, 8, 2]"
3,6e6f4124a572433c9490f457e86c2e93,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,4.0,8,0,[],"[8, 6, 4, 2, 8, 4, 0, 8, 6, 4, 8, 2, 4, 0]"
-3,dd9a3405eb054aeb9ca3cf48a5598c46,16,,,,,,,,,,,,,,,
-2,dd9a3405eb054aeb9ca3cf48a5598c46,16,2,1,50.0,8,10.0,8.0,8.0,8,8,14.0,12.0,29,3,[8],"[3, 21, 3, 29]"
-1,dd9a3405eb054aeb9ca3cf48a5598c46,16,3,0,0.0,6,7.5,1.2,1.0,1,2,9.666666666666666,7.0,19,3,"[1, 2, 1, 1, 1]","[8, 6, 3, 19, 3, 19]"
0,dd9a3405eb054aeb9ca3cf48a5598c46,16,4,0,0.0,0,0.0,nan,nan,nan,nan,8.0,7.0,15,3,[],"[8, 15, 6, 8, 3, 15, 3, 6]"
1,dd9a3405eb054aeb9ca3cf48a5598c46,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,6.0,10,3,[],"[6, 5, 10, 8, 3, 5, 3, 6, 10, 8]"
2,dd9a3405eb054aeb9ca3cf48a5598c46,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,5.0,11,1,[],"[7, 6, 11, 3, 6, 4, 4, 7, 3, 1, 11, 1]"
3,dd9a3405eb054aeb9ca3cf48a5598c46,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,4.0,9,2,[],"[6, 4, 3, 2, 5, 9, 4, 3, 3, 6, 5, 2, 3, 9]"
-3,4735cbb76a6e434c82727f60bfa6975f,16,,,,,,,,,,,,,,,
-2,4735cbb76a6e434c82727f60bfa6975f,16,2,0,0.0,21,26.25,7.0,8.0,5,8,10.75,12.0,12,7,"[8, 5, 8]","[7, 12, 12, 12]"
-1,4735cbb76a6e434c82727f60bfa6975f,16,3,0,0.0,9,11.25,4.5,4.5,4,5,9.166666666666666,8.0,12,7,"[4, 5]","[8, 8, 8, 7, 12, 12]"
0,4735cbb76a6e434c82727f60bfa6975f,16,4,0,0.0,0,0.0,nan,nan,nan,nan,8.0,7.5,12,5,[],"[5, 5, 8, 7, 8, 12, 12, 7]"
1,4735cbb76a6e434c82727f60bfa6975f,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,7.0,8,4,[],"[5, 8, 4, 8, 7, 4, 8, 5, 8, 7]"
2,4735cbb76a6e434c82727f60bfa6975f,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,5.0,12,2,[],"[5, 12, 5, 2, 2, 5, 3, 12, 3, 5, 5, 5]"
3,4735cbb76a6e434c82727f60bfa6975f,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,5.0,10,0,[],"[2, 0, 6, 10, 7, 2, 7, 5, 10, 2, 0, 2, 5, 6]"
-3,63704ae99c6644c9b8e4cc5f582ad47c,16,,,,,,,,,,,,,,,
-2,63704ae99c6644c9b8e4cc5f582ad47c,16,2,1,50.0,2,2.5,2.0,2.0,2,2,15.5,15.0,31,1,[2],"[1, 31, 29, 1]"
-1,63704ae99c6644c9b8e4cc5f582ad47c,16,3,2,66.66666666666666,2,2.5,2.0,2.0,2,2,10.333333333333334,1.5,29,0,[2],"[2, 1, 0, 1, 29, 29]"
0,63704ae99c6644c9b8e4cc5f582ad47c,16,4,0,0.0,1,1.25,1.0,1.0,1,1,7.875,5.5,20,1,[1],"[2, 3, 1, 8, 1, 8, 20, 20]"
1,63704ae99c6644c9b8e4cc5f582ad47c,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,6.0,12,1,[],"[11, 2, 6, 12, 6, 11, 12, 1, 2, 1]"
2,63704ae99c6644c9b8e4cc5f582ad47c,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,4.5,12,1,[],"[4, 12, 8, 2, 12, 8, 5, 1, 4, 1, 5, 2]"
3,63704ae99c6644c9b8e4cc5f582ad47c,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,4.0,11,1,[],"[1, 11, 6, 11, 5, 4, 3, 3, 2, 5, 6, 4, 1, 2]"
-3,66833b4ea20246649cfabe13b77ffbf2,16,,,,,,,,,,,,,,,
-2,66833b4ea20246649cfabe13b77ffbf2,16,2,0,0.0,13,16.25,6.5,6.5,3,10,12.75,11.0,22,7,"[10, 3]","[22, 7, 10, 12]"
-1,66833b4ea20246649cfabe13b77ffbf2,16,3,0,0.0,4,5.0,2.0,2.0,1,3,10.0,9.5,13,7,"[1, 3]","[7, 13, 9, 12, 9, 10]"
0,66833b4ea20246649cfabe13b77ffbf2,16,4,0,0.0,1,1.25,1.0,1.0,1,1,7.875,8.0,13,3,[1],"[7, 3, 13, 12, 9, 3, 7, 9]"
1,66833b4ea20246649cfabe13b77ffbf2,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,7.0,12,3,[],"[7, 7, 3, 7, 12, 3, 12, 3, 7, 3]"
2,66833b4ea20246649cfabe13b77ffbf2,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,5.0,12,1,[],"[7, 1, 7, 3, 2, 7, 1, 12, 2, 12, 3, 7]"
3,66833b4ea20246649cfabe13b77ffbf2,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,3.0,10,2,[],"[7, 2, 5, 2, 3, 3, 2, 5, 2, 10, 10, 3, 7, 3]"
-3,805822cf7bbe4712ab45ef95117edfa1,16,,,,,,,,,,,,,,,
-2,805822cf7bbe4712ab45ef95117edfa1,16,2,1,50.0,12,15.0,12.0,12.0,12,12,13.0,10.0,28,4,[12],"[4, 16, 28, 4]"
-1,805822cf7bbe4712ab45ef95117edfa1,16,3,0,0.0,2,2.5,2.0,2.0,2,2,10.333333333333334,13.0,14,4,[2],"[4, 14, 14, 12, 4, 14]"
0,805822cf7bbe4712ab45ef95117edfa1,16,4,0,0.0,0,0.0,nan,nan,nan,nan,8.0,8.0,12,4,[],"[4, 12, 4, 4, 12, 12, 12, 4]"
1,805822cf7bbe4712ab45ef95117edfa1,16,5,1,20.0,0,0.0,nan,nan,nan,nan,6.4,4.0,12,0,[],"[0, 4, 0, 12, 4, 12, 12, 4, 12, 4]"
2,805822cf7bbe4712ab45ef95117edfa1,16,6,1,16.666666666666664,0,0.0,nan,nan,nan,nan,5.333333333333333,4.0,12,0,[],"[4, 10, 2, 0, 10, 4, 2, 12, 12, 0, 4, 4]"
3,805822cf7bbe4712ab45ef95117edfa1,16,7,1,14.285714285714285,0,0.0,nan,nan,nan,nan,4.571428571428571,4.0,9,0,[],"[0, 2, 0, 8, 2, 4, 8, 9, 2, 7, 4, 9, 2, 7]"
-3,3b5b7bdd238a419aaeb103cec3c9f2df,16,,,,,,,,,,,,,,,
-2,3b5b7bdd238a419aaeb103cec3c9f2df,16,2,0,0.0,1,1.25,1.0,1.0,1,1,15.75,15.5,20,12,[1],"[19, 12, 20, 12]"
-1,3b5b7bdd238a419aaeb103cec3c9f2df,16,3,1,33.33333333333333,1,1.25,1.0,1.0,1,1,10.5,11.5,20,0,[1],"[1, 19, 12, 11, 20, 0]"
0,3b5b7bdd238a419aaeb103cec3c9f2df,16,4,0,0.0,0,0.0,nan,nan,nan,nan,8.0,6.0,19,1,[],"[19, 1, 3, 9, 9, 19, 3, 1]"
1,3b5b7bdd238a419aaeb103cec3c9f2df,16,5,0,0.0,0,0.0,nan,nan,nan,nan,6.4,8.0,11,1,[],"[11, 8, 9, 8, 1, 11, 9, 3, 3, 1]"
2,3b5b7bdd238a419aaeb103cec3c9f2df,16,6,0,0.0,0,0.0,nan,nan,nan,nan,5.333333333333333,5.5,9,1,[],"[9, 6, 8, 1, 5, 9, 6, 5, 8, 1, 3, 3]"
3,3b5b7bdd238a419aaeb103cec3c9f2df,16,7,0,0.0,0,0.0,nan,nan,nan,nan,4.571428571428571,4.0,8,1,[],"[7, 8, 1, 4, 1, 8, 1, 3, 8, 4, 1, 3, 7, 8]"
-3,06824c5b688046f5acbf8a4ffd6df1e0,16,,,,,,,,,,,,,,,
-2,06824c5b688046f5acbf8a4ffd6df1e0,16,2,0,0.0,7,8.75,7.0,7.0,7,7,14.25,13.0,19,12,[7],"[12, 19, 13, 13]"
