distance,automaton,num_traces,num_states,num_states_unreachable,percent_states_unreachable,num_glitches,percent_glitches,mean_glitch_trans_freq,median_glitch_trans_freq,min_glitch_trans_freq,max_glitch_trans_freq,mean_dominant_trans_freq,median_dominant_trans_freq,max_dominant_trans_freq,min_dominant_trans_freq,glitched_delta_freq,dominant_delta_freq
-3,21e370c24285403eb0db9f4c22ac66dd,81,,,,,,,,,,,,,,,
-2,21e370c24285403eb0db9f4c22ac66dd,81,,,,,,,,,,,,,,,
-1,21e370c24285403eb0db9f4c22ac66dd,81,3,0,0.0,28,6.91358024691358,14.0,14.0,14,14,32.888888888888886,24.0,64,20,"[14, 14]","[24, 50, 20, 50, 64, 24, 20, 24, 20]"
0,21e370c24285403eb0db9f4c22ac66dd,81,4,0,0.0,0,0.0,nan,nan,nan,nan,27.0,22.0,50,14,[],"[50, 24, 14, 50, 14, 20, 50, 24, 20, 24, 14, 20]"
1,21e370c24285403eb0db9f4c22ac66dd,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,20.0,31,14,[],"[31, 20, 24, 14, 14, 19, 20, 31, 19, 24, 20, 31, 24, 14, 19]"
2,21e370c24285403eb0db9f4c22ac66dd,81,6,0,0.0,0,0.0,nan,nan,nan,nan,18.0,17.0,27,9,[],"[20, 14, 9, 14, 27, 14, 14, 24, 9, 14, 20, 27, 24, 20, 9, 24, 14, 27]"
3,21e370c24285403eb0db9f4c22ac66dd,81,7,0,0.0,0,0.0,nan,nan,nan,nan,15.428571428571429,14.0,27,1,[],"[9, 13, 24, 20, 14, 9, 27, 24, 14, 1, 1, 1, 20, 9, 24, 13, 27, 20, 27, 14, 13]"
-3,e8c4fdd8145d4f4e8ffbae6085103acc,81,,,,,,,,,,,,,,,
-2,e8c4fdd8145d4f4e8ffbae6085103acc,81,,,,,,,,,,,,,,,
-1,e8c4fdd8145d4f4e8ffbae6085103acc,81,3,0,0.0,36,8.88888888888889,18.0,18.0,18,18,32.0,20.0,58,12,"[18, 18]","[38, 20, 20, 58, 12, 58, 12, 58, 12]"
0,e8c4fdd8145d4f4e8ffbae6085103acc,81,4,0,0.0,0,0.0,nan,nan,nan,nan,27.0,19.0,58,12,[],"[20, 18, 58, 12, 58, 18, 20, 58, 12, 20, 12, 18]"
1,e8c4fdd8145d4f4e8ffbae6085103acc,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,18.0,56,2,[],"[18, 12, 2, 2, 56, 12, 56, 18, 56, 2, 18, 20, 20, 20, 12]"
2,e8c4fdd8145d4f4e8ffbae6085103acc,81,6,0,0.0,0,0.0,nan,nan,nan,nan,18.0,12.5,56,2,[],"[20, 7, 5, 20, 5, 7, 18, 56, 2, 7, 2, 2, 20, 5, 56, 56, 18, 18]"
3,e8c4fdd8145d4f4e8ffbae6085103acc,81,7,0,0.0,0,0.0,nan,nan,nan,nan,15.428571428571429,9.0,55,3,[],"[55, 55, 16, 4, 18, 9, 9, 3, 3, 16, 3, 4, 18, 55, 9, 3, 18, 3, 16, 4, 3]"
-3,fc5b706b26fc4d538574bf5b8c1007cc,81,,,,,,,,,,,,,,,
-2,fc5b706b26fc4d538574bf5b8c1007cc,81,,,,,,,,,,,,,,,
-1,fc5b706b26fc4d538574bf5b8c1007cc,81,3,0,0.0,21,5.185185185185185,7.0,7.0,7,7,33.666666666666664,27.0,67,7,"[7, 7, 7]","[27, 27, 27, 7, 7, 67, 67, 7, 67]"
0,fc5b706b26fc4d538574bf5b8c1007cc,81,4,0,0.0,0,0.0,nan,nan,nan,nan,27.0,17.0,67,7,[],"[27, 7, 7, 27, 7, 67, 67, 27, 7, 7, 67, 7]"
1,fc5b706b26fc4d538574bf5b8c1007cc,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,7.0,67,1,[],"[27, 1, 27, 7, 1, 7, 27, 67, 6, 1, 67, 6, 7, 6, 67]"
