distance,automaton,num_traces,num_states,num_states_unreachable,percent_states_unreachable,num_glitches,percent_glitches,mean_glitch_trans_freq,median_glitch_trans_freq,min_glitch_trans_freq,max_glitch_trans_freq,mean_dominant_trans_freq,median_dominant_trans_freq,max_dominant_trans_freq,min_dominant_trans_freq,glitched_delta_freq,dominant_delta_freq
-3,8938faf3f40241419e6cb8191bf23db7,81,,,,,,,,,,,,,,,
-2,8938faf3f40241419e6cb8191bf23db7,81,2,0,0.0,8,1.9753086419753085,8.0,8.0,8,8,52.666666666666664,50.0,82,26,[8],"[26, 74, 26, 26, 82, 82]"
-1,8938faf3f40241419e6cb8191bf23db7,81,3,1,33.33333333333333,8,1.9753086419753085,8.0,8.0,8,8,35.111111111111114,26.0,82,0,[8],"[0, 0, 26, 74, 0, 26, 26, 82, 82]"
0,8938faf3f40241419e6cb8191bf23db7,81,4,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,26.916666666666668,23.0,54,7,[1],"[21, 7, 54, 26, 53, 26, 7, 21, 21, 8, 25, 54]"
1,8938faf3f40241419e6cb8191bf23db7,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,20.0,53,6,[],"[8, 21, 21, 6, 8, 21, 53, 8, 20, 6, 20, 53, 6, 20, 53]"
2,8938faf3f40241419e6cb8191bf23db7,81,6,0,0.0,0,0.0,nan,nan,nan,nan,18.0,16.5,40,7,[],"[8, 20, 14, 14, 20, 8, 40, 19, 19, 14, 8, 19, 7, 7, 7, 20, 40, 40]"
3,8938faf3f40241419e6cb8191bf23db7,81,7,0,0.0,0,0.0,nan,nan,nan,nan,15.428571428571429,8.0,48,1,[],"[48, 48, 1, 1, 5, 8, 20, 5, 21, 21, 20, 48, 5, 8, 21, 1, 8, 5, 20, 5, 5]"
-3,ad18e7325f2f4d8b8c7a921273e5263d,81,,,,,,,,,,,,,,,
-2,ad18e7325f2f4d8b8c7a921273e5263d,81,2,0,0.0,86,21.23456790123457,14.333333333333334,12.0,1,25,39.666666666666664,36.0,63,31,"[12, 12, 25, 12, 24, 1]","[32, 40, 31, 63, 40, 32]"
-1,ad18e7325f2f4d8b8c7a921273e5263d,81,3,0,0.0,37,9.135802469135802,6.166666666666667,6.0,1,12,31.88888888888889,32.0,43,20,"[12, 8, 8, 1, 4, 4]","[32, 24, 20, 40, 25, 43, 40, 31, 32]"
0,ad18e7325f2f4d8b8c7a921273e5263d,81,4,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,26.916666666666668,28.0,40,12,[1],"[39, 32, 24, 24, 40, 31, 12, 12, 32, 40, 12, 25]"
1,ad18e7325f2f4d8b8c7a921273e5263d,81,5,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,21.533333333333335,22.0,40,10,[1],"[21, 12, 39, 22, 22, 24, 12, 10, 24, 25, 12, 10, 40, 40, 10]"
2,ad18e7325f2f4d8b8c7a921273e5263d,81,6,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,17.944444444444443,14.0,40,3,[1],"[3, 32, 21, 32, 5, 3, 7, 31, 7, 40, 7, 21, 5, 5, 22, 40, 39, 3]"
3,ad18e7325f2f4d8b8c7a921273e5263d,81,7,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,15.380952380952381,12.0,40,2,[1],"[12, 12, 9, 3, 40, 3, 20, 21, 8, 12, 21, 40, 9, 8, 39, 9, 16, 2, 15, 9, 15]"
-3,5dd3084317bb410ca82656c3fc4cfa6d,81,,,,,,,,,,,,,,,
-2,5dd3084317bb410ca82656c3fc4cfa6d,81,2,0,0.0,30,7.4074074074074066,15.0,15.0,15,15,49.0,54.0,71,22,"[15, 15]","[71, 71, 22, 37, 71, 22]"
-1,5dd3084317bb410ca82656c3fc4cfa6d,81,3,0,0.0,0,0.0,nan,nan,nan,nan,36.0,22.0,71,15,[],"[15, 71, 22, 71, 15, 15, 22, 22, 71]"
0,5dd3084317bb410ca82656c3fc4cfa6d,81,4,0,0.0,0,0.0,nan,nan,nan,nan,27.0,27.5,38,15,[],"[15, 22, 33, 33, 38, 15, 22, 38, 22, 15, 33, 38]"
1,5dd3084317bb410ca82656c3fc4cfa6d,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,16.0,42,13,[],"[22, 13, 42, 15, 22, 42, 16, 22, 15, 16, 16, 15, 42, 13, 13]"
2,5dd3084317bb410ca82656c3fc4cfa6d,81,6,0,0.0,0,0.0,nan,nan,nan,nan,18.0,17.0,33,3,[],"[33, 3, 25, 3, 33, 19, 15, 25, 13, 15, 3, 13, 19, 19, 25, 33, 13, 15]"
3,5dd3084317bb410ca82656c3fc4cfa6d,81,7,0,0.0,0,0.0,nan,nan,nan,nan,15.428571428571429,10.0,38,3,[],"[22, 22, 10, 5, 22, 5, 22, 10, 38, 8, 10, 3, 22, 38, 38, 3, 5, 3, 22, 8, 8]"
-3,7c51dc72889346588ea2b1f40efee548,81,,,,,,,,,,,,,,,
-2,7c51dc72889346588ea2b1f40efee548,81,2,0,0.0,49,12.098765432098766,12.25,9.5,1,29,45.833333333333336,40.0,64,34,"[9, 1, 29, 10]","[64, 34, 34, 36, 44, 63]"
-1,7c51dc72889346588ea2b1f40efee548,81,3,0,0.0,20,4.938271604938271,5.0,4.5,1,10,33.77777777777778,34.0,44,28,"[1, 6, 3, 10]","[36, 28, 34, 36, 34, 29, 29, 44, 34]"
0,7c51dc72889346588ea2b1f40efee548,81,4,0,0.0,2,0.49382716049382713,1.0,1.0,1,1,26.833333333333332,31.5,36,9,"[1, 1]","[36, 34, 29, 10, 10, 27, 36, 34, 36, 27, 34, 9]"
1,7c51dc72889346588ea2b1f40efee548,81,5,0,0.0,2,0.49382716049382713,1.0,1.0,1,1,21.466666666666665,14.0,36,9,"[1, 1]","[10, 36, 13, 34, 14, 36, 34, 9, 10, 14, 14, 15, 34, 13, 36]"
2,7c51dc72889346588ea2b1f40efee548,81,6,1,16.666666666666664,2,0.49382716049382713,1.0,1.0,1,1,17.88888888888889,18.5,34,0,"[1, 1]","[34, 27, 2, 0, 10, 10, 34, 2, 34, 27, 0, 34, 3, 28, 1, 34, 9, 33]"
3,7c51dc72889346588ea2b1f40efee548,81,7,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,15.380952380952381,10.0,36,1,[1],"[9, 14, 1, 9, 36, 1, 10, 33, 36, 14, 34, 4, 1, 4, 34, 14, 11, 4, 35, 10, 9]"
-3,dc73309da98a40d593bf179c173df7aa,81,,,,,,,,,,,,,,,
-2,dc73309da98a40d593bf179c173df7aa,81,2,0,0.0,34,8.395061728395062,17.0,17.0,6,28,48.333333333333336,40.0,76,26,"[6, 28]","[32, 32, 48, 76, 26, 76]"
-1,dc73309da98a40d593bf179c173df7aa,81,3,0,0.0,8,1.9753086419753085,2.0,1.5,1,4,35.111111111111114,31.0,49,26,"[4, 1, 1, 2]","[27, 49, 32, 48, 49, 27, 26, 31, 27]"
0,dc73309da98a40d593bf179c173df7aa,81,4,0,0.0,0,0.0,nan,nan,nan,nan,27.0,27.0,48,6,[],"[6, 26, 26, 48, 6, 48, 28, 28, 6, 26, 28, 48]"
1,dc73309da98a40d593bf179c173df7aa,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,26.0,28,6,[],"[20, 20, 20, 28, 28, 6, 26, 26, 28, 28, 6, 28, 6, 28, 26]"
2,dc73309da98a40d593bf179c173df7aa,81,6,0,0.0,0,0.0,nan,nan,nan,nan,18.0,23.5,27,1,[],"[27, 27, 6, 27, 26, 21, 1, 21, 26, 27, 6, 1, 21, 1, 26, 27, 6, 27]"
3,dc73309da98a40d593bf179c173df7aa,81,7,0,0.0,0,0.0,nan,nan,nan,nan,15.428571428571429,11.0,37,2,[],"[4, 37, 18, 18, 10, 26, 37, 26, 11, 10, 2, 2, 4, 26, 2, 11, 10, 11, 18, 37, 4]"
-3,49491c00c89c441d8f085973333e2014,81,,,,,,,,,,,,,,,
