distance,automaton,num_traces,num_states,num_states_unreachable,percent_states_unreachable,num_glitches,percent_glitches,mean_glitch_trans_freq,median_glitch_trans_freq,min_glitch_trans_freq,max_glitch_trans_freq,mean_dominant_trans_freq,median_dominant_trans_freq,max_dominant_trans_freq,min_dominant_trans_freq,glitched_delta_freq,dominant_delta_freq
-3,716509408cb64a9ca5eb899082d63bad,81,,,,,,,,,,,,,,,
-2,716509408cb64a9ca5eb899082d63bad,81,,,,,,,,,,,,,,,
-1,716509408cb64a9ca5eb899082d63bad,81,3,0,0.0,28,6.91358024691358,14.0,14.0,14,14,32.888888888888886,24.0,64,20,"[14, 14]","[50, 20, 24, 64, 20, 24, 20, 24, 50]"
0,716509408cb64a9ca5eb899082d63bad,81,4,0,0.0,0,0.0,nan,nan,nan,nan,27.0,22.0,50,14,[],"[14, 50, 50, 20, 24, 14, 20, 24, 20, 24, 50, 14]"
1,716509408cb64a9ca5eb899082d63bad,81,5,0,0.0,0,0.0,nan,nan,nan,nan,21.6,20.0,41,9,[],"[14, 41, 41, 9, 14, 24, 14, 9, 20, 20, 9, 24, 20, 24, 41]"
2,716509408cb64a9ca5eb899082d63bad,81,6,0,0.0,0,0.0,nan,nan,nan,nan,18.0,17.0,27,9,[],"[14, 14, 14, 14, 20, 24, 9, 20, 9, 14, 9, 24, 27, 20, 24, 27, 27, 14]"
3,716509408cb64a9ca5eb899082d63bad,81,7,0,0.0,0,0.0,nan,nan,nan,nan,15.428571428571429,14.0,27,1,[],"[1, 14, 24, 24, 27, 9, 13, 24, 1, 9, 13, 13, 1, 20, 27, 20, 20, 27, 9, 14, 14]"
-3,533c4d036d1244bb999cea169027b0c2,81,,,,,,,,,,,,,,,
-2,533c4d036d1244bb999cea169027b0c2,81,,,,,,,,,,,,,,,
-1,533c4d036d1244bb999cea169027b0c2,81,3,0,0.0,37,9.135802469135802,12.333333333333334,18.0,1,18,31.88888888888889,20.0,58,11,"[18, 1, 18]","[57, 12, 13, 58, 11, 38, 20, 20, 58]"
0,533c4d036d1244bb999cea169027b0c2,81,4,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,26.916666666666668,19.0,58,11,[1],"[18, 58, 20, 57, 12, 18, 13, 11, 20, 20, 18, 58]"
1,533c4d036d1244bb999cea169027b0c2,81,5,1,20.0,1,0.24691358024691357,1.0,1.0,1,1,21.533333333333335,18.0,58,0,[1],"[18, 58, 0, 20, 0, 57, 12, 18, 13, 11, 0, 20, 20, 18, 58]"
2,533c4d036d1244bb999cea169027b0c2,81,6,0,0.0,1,0.24691358024691357,1.0,1.0,1,1,17.944444444444443,19.0,27,6,[1],"[6, 24, 25, 25, 20, 6, 27, 18, 12, 11, 18, 13, 20, 27, 20, 27, 6, 18]"
